,0,1,2,3,4
0,0.8174059,0.5207205,0.37961787,0.40232703,0.6389398
1,0.80939764,0.5243099,0.3846414,0.41229305,0.6397279
2,0.8006949,0.52930856,0.39405453,0.42201552,0.6418527
3,0.7914303,0.5342536,0.38163647,0.43144223,0.643482
4,0.7833385,0.5362504,0.3839153,0.43527433,0.6406581
5,0.7769962,0.535928,0.37770328,0.4365206,0.63658607
6,0.77190346,0.5360034,0.3764706,0.4411124,0.6355742
7,0.76713943,0.5381856,0.3651807,0.45032194,0.6371846
8,0.76078755,0.5419859,0.36736578,0.45965114,0.6389609
9,0.74992293,0.52603656,0.34806842,0.434878,0.6107957
10,0.7383674,0.5096081,0.34229428,0.4091334,0.58727247
11,0.7282925,0.5014359,0.3507959,0.39892712,0.5787925
12,0.72367156,0.49737877,0.3530045,0.3975791,0.575768
13,0.71818423,0.4889784,0.3555869,0.38928124,0.56421775
14,0.7074679,0.47697586,0.35565928,0.37249473,0.54518425
15,0.69584477,0.46087328,0.34798035,0.35142145,0.52228206
16,0.6851762,0.44214404,0.35402253,0.32854584,0.49836516
17,0.67834646,0.42199335,0.3510975,0.30681196,0.4762969
18,0.6751427,0.40490812,0.34805447,0.2909953,0.45965898
19,0.6715448,0.38973993,0.34115195,0.27734748,0.44336385
20,0.66910225,0.37815684,0.35700417,0.26706347,0.43005988
21,0.66494465,0.365606,0.343759,0.2562401,0.41673797
22,0.6619949,0.35580838,0.34413615,0.24569632,0.40616745
23,0.6609653,0.35066205,0.34202176,0.24107319,0.40139455
24,0.65955955,0.35040778,0.34905794,0.24018331,0.40062064
25,0.658341,0.35072744,0.34628877,0.24047427,0.40026572
26,0.6560713,0.35155326,0.34386334,0.24022362,0.39928666
27,0.657014,0.35530537,0.34832942,0.24635877,0.4042307
28,0.660115,0.3607633,0.34755465,0.25637257,0.41169727
29,0.6618168,0.36666864,0.3446424,0.2645543,0.4174897
30,0.6588697,0.36872277,0.33921263,0.26391178,0.4157021
31,0.6533802,0.3663903,0.33766004,0.25780982,0.40969163
32,0.64660066,0.3619715,0.33584774,0.24967997,0.40200335
33,0.6388717,0.35648432,0.33414444,0.23929098,0.393197
34,0.6277953,0.35177404,0.23288822,0.23456366,0.38752025
35,0.6050131,0.3455149,0.0,0.22427182,0.37828737
36,0.5900065,0.3495682,0.016982228,0.20714045,0.3716729
37,0.56853956,0.35183662,0.0023277923,0.2055784,0.3710443
38,0.55939645,0.34898844,0.0012560487,0.20153585,0.3668747
39,0.54916894,0.34461364,0.0,0.19273886,0.35944358
40,0.5392992,0.34201074,0.0,0.18319125,0.35172206
41,0.5249688,0.33864963,0.0,0.17213412,0.34271097
42,0.5100479,0.33464938,0.0,0.16308893,0.33384264
43,0.49719402,0.3308718,0.0,0.15349106,0.325011
44,0.48384196,0.32790828,0.0,0.14526725,0.316349
45,0.46945086,0.32691622,0.0,0.13944337,0.30931506
46,0.45639962,0.32597062,0.0,0.13401519,0.30427825
47,0.44782114,0.32288665,0.0,0.12802416,0.29932043
48,0.4401,0.3193187,0.0,0.12231445,0.29366747
49,0.43297094,0.31622675,0.0,0.11752914,0.28816995
50,0.4262346,0.3141784,0.0,0.113703355,0.28415298
51,0.41966075,0.31253618,0.0,0.109837696,0.28040016
52,0.41183132,0.3107106,0.0,0.10592936,0.2758076
53,0.40456307,0.30870187,0.0,0.10199481,0.27147377
54,0.3989155,0.30647808,0.0,0.0978353,0.26758435
55,0.39240777,0.303903,0.0,0.093153775,0.2627138
56,0.38618192,0.3011291,0.0,0.08837016,0.25797135
57,0.38151038,0.29811418,0.0,0.0841108,0.25384852
58,0.37927476,0.29513997,0.0,0.08017139,0.25066602
59,0.3784876,0.29305172,0.0,0.07774301,0.24911067
60,0.37848437,0.29073507,0.0,0.07439977,0.24729292
61,0.3790263,0.2888265,0.0,0.07170181,0.24591096
